# 中古戸建の成約事例(国交省 不動産取引価格情報の再掲サイト utinokati.com、取得 2026-08-10)。
# 2022Q1以降の北区18地区・全767件。原データ由来の丸め(価格100万円単位・面積5m2単位)あり。
# age_y は取引時点の築年数。リテール比較(engine/retail.js)の事例プールとして使用。
# shape は出典ページ(listings)の「土地形状」列の転記。2026-08-13に追加した。
# **空欄は出典に記載が無い行**(推測で埋めない)。値の語彙は 長方形/ほぼ長方形/正方形/ほぼ正方形/
# 台形/ほぼ台形/ほぼ整形/不整形/やや不整形/旗竿地/袋地等。同一諸元で表記が割れる行(6件)も空にした。
# road_type / breadth_m は**国土交通省 不動産情報ライブラリAPI(一次ソース)**由来。2026-08-13に追加。
#   road_type: private=私道 / public=区道・都道・国道・公道 / 空=原データに記載なし
#   breadth_m: 前面道路の幅員(m)。原データに幅員0のレコードが1件あるが、幅0の道路は事実ではなく
#     「不明」の符号化とみて空欄に戻した(推測で値を作らない方針の裏返し)。
# 突き合わせは (四半期・地区・価格・土地面積・延床) で行い767行中759行が一致。形状はAPIと再掲サイトで
# **447件すべて一致・不一致ゼロ**だったため、照合の妥当性はこの一致率で担保されている。
# 形状の欠測はAPIでも埋まらない(原データで「地域」区分が空のレコードは形状も間口も記録されていない)。
# 収載ルール: 再掲サイトの掲載レコードのみ。推測・補完での行追加は禁止。
# 除外ルール: 延床300m2超・土地400m2超・3億円超は共同住宅/ビルの疑いが強いため除外(戸建比較の事例プールとして不適)。
# 2026-08-13: 探索エリア拡張(docs/area-expansion-2026-08.md)に伴い 王子本町・岸町・滝野川・上中里・西ケ原・中里 の6地区を追加(286件)。
#   取得日 2026-08-13。収載/除外ルールは既存12地区と同一(新規地区だけに追加の絞り込みは掛けない=プールの一貫性を保つため)。
quarter,district,price_man,land_m2,floor_m2,age_y,walk_min,shape,road_type,breadth_m,source_url
2023Q3,十条仲原,8000,75,105,0.5,13,ほぼ台形,public,4,https://utinokati.com/details/house/place/13117-U0005/
2023Q3,岩淵町,1300,75,85,50.5,7,袋地等,,,https://utinokati.com/details/house/place/13117-U0008/
2023Q3,志茂,2100,65,80,47.5,5,,private,4,https://utinokati.com/details/house/place/13117-U0010/
2023Q3,志茂,5500,95,105,16.5,1,台形,public,5.7,https://utinokati.com/details/house/place/13117-U0010/
2023Q3,志茂,5000,110,110,10.5,6,長方形,private,4,https://utinokati.com/details/house/place/13117-U0010/
2023Q3,志茂,7500,60,90,-0.5,5,長方形,public,6.9,https://utinokati.com/details/house/place/13117-U0010/
2023Q3,神谷,2900,50,85,37.5,10,,public,5.8,https://utinokati.com/details/house/place/13117-U0022/
2023Q3,神谷,23000,65,220,1.5,7,ほぼ長方形,public,36.8,https://utinokati.com/details/house/place/13117-U0022/
2023Q3,神谷,6500,55,90,0.5,11,ほぼ長方形,public,5.8,https://utinokati.com/details/house/place/13117-U0022/
2023Q3,西が丘,7300,130,140,33.5,18,不整形,public,5.8,https://utinokati.com/details/house/place/13117-U0023/
2023Q3,西が丘,7700,100,100,0.5,14,ほぼ長方形,public,5.7,https://utinokati.com/details/house/place/13117-U0023/
2023Q3,赤羽,3600,60,65,5.5,5,,private,2.8,https://utinokati.com/details/house/place/13117-U0026/
2023Q3,赤羽,6500,55,40,63.5,5,長方形,public,12.9,https://utinokati.com/details/house/place/13117-U0026/
2023Q3,赤羽台,5900,85,85,24.5,15,,public,11.4,https://utinokati.com/details/house/place/13117-U0029/
2023Q3,赤羽台,2200,115,110,33.5,15,,,,https://utinokati.com/details/house/place/13117-U0029/
2023Q3,赤羽台,5900,70,85,3.5,10,,private,3,https://utinokati.com/details/house/place/13117-U0029/
2023Q3,赤羽西,6400,60,90,-0.5,13,台形,public,3.8,https://utinokati.com/details/house/place/13117-U0030/
2023Q3,赤羽西,2700,45,40,60.5,7,ほぼ正方形,public,2,https://utinokati.com/details/house/place/13117-U0030/
2023Q3,赤羽西,23000,100,250,1.5,8,長方形,public,6,https://utinokati.com/details/house/place/13117-U0030/
2023Q4,上十条,5500,60,85,4.8,15,,private,3.2,https://utinokati.com/details/house/place/13117-U0002/
2023Q4,上十条,7200,85,90,0.8,6,長方形,private,4,https://utinokati.com/details/house/place/13117-U0002/
2023Q4,上十条,3100,60,55,33.8,5,ほぼ整形,private,1.8,https://utinokati.com/details/house/place/13117-U0002/
2023Q4,中十条,6500,75,135,23.8,10,,public,11,https://utinokati.com/details/house/place/13117-U0003/
2023Q4,中十条,7600,80,120,7.8,6,ほぼ長方形,private,3.6,https://utinokati.com/details/house/place/13117-U0003/
2023Q4,中十条,800,35,20,18.8,2,ほぼ長方形,private,4,https://utinokati.com/details/house/place/13117-U0003/
2023Q4,中十条,7800,125,120,28.8,3,ほぼ台形,private,3.9,https://utinokati.com/details/house/place/13117-U0003/
2023Q4,十条仲原,6200,60,85,-0.2,11,長方形,public,5,https://utinokati.com/details/house/place/13117-U0005/
2023Q4,岩淵町,5300,90,85,0.8,8,不整形,public,4,https://utinokati.com/details/house/place/13117-U0008/
2023Q4,志茂,6100,60,85,2.8,10,,private,3.6,https://utinokati.com/details/house/place/13117-U0010/
2023Q4,志茂,5800,95,80,54.8,10,,private,3.7,https://utinokati.com/details/house/place/13117-U0010/
2023Q4,志茂,6200,60,90,0.8,8,ほぼ長方形,public,3.3,https://utinokati.com/details/house/place/13117-U0010/
2023Q4,志茂,14000,145,190,0.8,6,ほぼ正方形,public,4.2,https://utinokati.com/details/house/place/13117-U0010/
2023Q4,志茂,1000,35,60,35.8,9,不整形,public,3.7,https://utinokati.com/details/house/place/13117-U0010/
2023Q4,志茂,2800,55,70,48.8,5,ほぼ長方形,public,6.3,https://utinokati.com/details/house/place/13117-U0010/
2023Q4,神谷,5200,75,95,12.8,15,,public,8.5,https://utinokati.com/details/house/place/13117-U0022/
2023Q4,神谷,6600,65,90,0.8,5,不整形,public,4.3,https://utinokati.com/details/house/place/13117-U0022/
2023Q4,神谷,7300,110,115,22.8,9,ほぼ長方形,private,3.3,https://utinokati.com/details/house/place/13117-U0022/
2023Q4,赤羽北,8700,100,95,11.8,4,ほぼ長方形,public,7.8,https://utinokati.com/details/house/place/13117-U0027/
2023Q4,赤羽台,5700,80,80,6.8,15,,private,,https://utinokati.com/details/house/place/13117-U0029/
2023Q4,赤羽台,3800,95,100,39.8,8,長方形,public,8.2,https://utinokati.com/details/house/place/13117-U0029/
2023Q4,赤羽台,7500,65,95,0.8,9,長方形,public,4,https://utinokati.com/details/house/place/13117-U0029/
2023Q4,赤羽台,1400,40,60,56.8,10,長方形,private,2,https://utinokati.com/details/house/place/13117-U0029/
2023Q4,赤羽西,5500,55,85,11.8,5,,private,3.1,https://utinokati.com/details/house/place/13117-U0030/
2023Q4,赤羽西,4700,60,70,7.8,15,,private,3.5,https://utinokati.com/details/house/place/13117-U0030/
2023Q4,赤羽西,5500,60,80,11.8,6,長方形,private,3.2,https://utinokati.com/details/house/place/13117-U0030/
2023Q4,赤羽西,1300,50,55,47.8,11,長方形,private,2,https://utinokati.com/details/house/place/13117-U0030/
2023Q4,赤羽西,6100,70,85,0.8,8,不整形,private,2.8,https://utinokati.com/details/house/place/13117-U0030/
2023Q4,赤羽西,23000,170,200,42.8,2,ほぼ長方形,public,20,https://utinokati.com/details/house/place/13117-U0030/
2024Q1,上十条,14000,100,130,0,7,ほぼ長方形,public,4,https://utinokati.com/details/house/place/13117-U0002/
2024Q1,上十条,8000,85,110,1,7,ほぼ長方形,private,4,https://utinokati.com/details/house/place/13117-U0002/
2024Q1,上十条,5500,55,80,5,13,ほぼ整形,private,3.4,https://utinokati.com/details/house/place/13117-U0002/
